BSN,Portfoy,Tahsilat,Tarih
BSN0566292,BANK2P2,178.55,4/24/2013
BSN0566702,BANK2P2,83.77,12/17/2012
BSN0570094,BANK2P2,93.92,2/24/2014
BSN0566804,BANK2P2,326.45,5/27/2013
BSN0351235,BANK2P2,542.10,8/6/2012
BSN0568026,BANK2P2,194.82,7/8/2013
BSN0572401,BANK2P2,192.39,8/1/2012
BSN0578672,BANK2P2,650.00,6/13/2012
BSN0566037,BANK2P2,205.68,9/5/2013
BSN0149053,BANK2P2,500.00,7/16/2013
BSN0567827,BANK2P2,732.59,1/31/2013
BSN0568913,BANK2P2,500.00,7/25/2013
BSN0551098,BANK2P2,217.51,1/7/2014
BSN0492200,BANK2P2,92.73,11/25/2013
BSN0566875,BANK2P2,77.36,4/26/2013
BSN0220123,BANK2P2,230.00,12/31/2013
BSN0567786,BANK2P2,17.63,4/19/2013
BSN0569415,BANK2P2,200.00,5/23/2013
BSN0576899,BANK2P2,300.00,11/6/2012
BSN0162430,BANK2P2,226.26,12/18/2013
BSN0574160,BANK2P2,301.00,9/25/2012
BSN0415830,BANK2P2,543.31,1/16/2014
BSN0576150,BANK2P2,500.00,7/6/2012
BSN0568990,BANK2P2,750.00,1/15/2013
BSN0574946,BANK2P2,615.00,7/17/2012
BSN0580710,BANK2P2,150.00,8/22/2012
BSN0565895,BANK2P2,157.29,10/21/2013
BSN0570736,BANK2P2,325.00,8/9/2012
BSN0565752,BANK2P2,271.58,4/18/2013
BSN0567884,BANK2P2,1213.50,11/4/2013
BSN0572432,BANK2P2,841.10,9/11/2013
BSN0499904,BANK2P2,772.70,11/22/2012
BSN0416682,BANK2P2,88.38,3/27/2013
BSN0037413,BANK2P2,308.47,9/6/2013
BSN0531515,BANK2P2,32.24,11/1/2013
BSN0569497,BANK2P2,200.00,12/20/2012
BSN0574237,BANK2P2,400.00,8/17/2012
BSN0567680,BANK2P2,124.48,4/18/2013
BSN0571934,BANK2P2,476.26,12/4/2012
BSN0569464,BANK2P2,8.26,11/1/2013
BSN0566024,BANK2P2,620.40,12/26/2012
BSN0582606,BANK2P2,250.00,5/10/2013
BSN0574436,BANK2P2,86.88,1/11/2013
BSN0290662,BANK2P2,558.24,5/22/2013
BSN0573949,BANK2P2,234.00,1/25/2013
BSN0567771,BANK2P2,8000.00,8/9/2012
BSN0491680,BANK2P2,429.90,8/15/2013
BSN0577100,BANK2P2,150.00,10/14/2013
BSN0567778,BANK2P2,24.12,2/11/2014
BSN0574085,BANK2P2,41.94,5/21/2013
BSN0577732,BANK2P2,839.75,4/1/2013
BSN0574133,BANK2P2,150.00,12/21/2012
BSN0565411,BANK2P2,323.14,8/22/2013
BSN0581318,BANK2P2,123.64,9/30/2013
BSN0567827,BANK2P2,366.30,6/26/2013
BSN0570237,BANK2P2,100.00,12/17/2012
BSN0571866,BANK2P2,500.00,2/20/2013
BSN0567555,BANK2P2,200.00,9/24/2013
BSN0568557,BANK2P2,7500.00,12/6/2012
BSN0499319,BANK2P2,625.00,9/4/2013
BSN0567060,BANK2P2,615.95,4/18/2013
BSN0566388,BANK2P2,672.90,2/18/2013
BSN0572965,BANK2P2,130.57,8/7/2013
BSN0567311,BANK2P2,78.62,7/31/2012
BSN0566871,BANK2P2,188.10,12/27/2012
BSN0567258,BANK2P2,187.15,5/27/2013
BSN0575338,BANK2P2,200.00,9/25/2012
BSN0571884,BANK2P2,100.00,11/29/2012
BSN0565531,BANK2P2,191.86,8/19/2013
BSN0571225,BANK2P2,355.74,8/15/2013
BSN0567428,BANK2P2,59.06,2/18/2014
BSN0566766,BANK2P2,187.17,3/12/2013
BSN0063842,BANK2P2,516.99,9/27/2012
BSN0575492,BANK2P2,120.00,12/3/2012
BSN0568065,BANK2P2,61.62,11/27/2013
